,G,2021 Playoffs,Series,Tm,,Opp,G#,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2021-05-23,WC1,PHO,,LAL,1,W (+9),1,45:11,13,26,.500,3,7,.429,5,6,.833,1,6,7,8,1,0,6,4,34,22.1,+9
1,2,2021-05-25,WC1,PHO,,LAL,2,L (-7),1,40:07,7,17,.412,0,3,.000,17,17,1.000,0,1,1,3,0,0,4,3,31,19.1,-16
2,3,2021-05-27,WC1,PHO,@,LAL,3,L (-14),1,41:21,6,19,.316,1,4,.250,6,7,.857,1,3,4,6,0,0,4,6,19,7.1,-7
3,4,2021-05-30,WC1,PHO,@,LAL,4,W (+8),1,39:18,5,14,.357,1,5,.200,6,7,.857,2,5,7,5,1,0,5,3,17,10.0,+12
4,5,2021-06-01,WC1,PHO,,LAL,5,W (+30),1,33:09,13,23,.565,2,6,.333,2,2,1.000,0,7,7,5,1,0,1,3,30,23.5,+22
5,6,2021-06-03,WC1,PHO,@,LAL,6,W (+13),1,45:59,15,22,.682,8,10,.800,9,9,1.000,0,11,11,3,0,1,3,2,47,39.9,+10
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2021-06-07,WCS,PHO,,DEN,1,W (+17),1,38:22,8,12,.667,1,4,.250,4,6,.667,0,4,4,8,1,0,5,3,21,16.6,+12
8,8,2021-06-09,WCS,PHO,,DEN,2,W (+25),1,33:04,6,14,.429,3,7,.429,3,3,1.000,0,10,10,2,1,0,2,1,18,13.6,+16
9,9,2021-06-11,WCS,PHO,@,DEN,3,W (+14),1,40:27,11,23,.478,2,7,.286,4,4,1.000,1,5,6,4,1,0,4,3,28,17.1,+19
10,10,2021-06-13,WCS,PHO,@,DEN,4,W (+7),1,41:53,11,25,.440,2,8,.250,10,11,.909,2,9,11,4,1,0,3,3,34,24.2,+10
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,2021-06-20,WCF,PHO,,LAC,1,W (+6),1,43:56,15,29,.517,3,7,.429,7,7,1.000,1,12,13,11,0,0,2,3,40,34.5,+6
13,12,2021-06-22,WCF,PHO,,LAC,2,W (+1),1,40:52,5,16,.313,1,3,.333,9,9,1.000,0,4,4,5,0,0,8,5,20,5.5,+4
14,13,2021-06-24,WCF,PHO,@,LAC,3,L (-14),1,40:05,5,21,.238,1,7,.143,4,4,1.000,1,4,5,5,1,0,4,4,15,3.1,-15
15,14,2021-06-26,WCF,PHO,@,LAC,4,W (+4),1,38:17,8,22,.364,0,5,.000,9,11,.818,0,2,2,0,2,0,5,6,25,7.2,+5
16,15,2021-06-28,WCF,PHO,,LAC,5,L (-14),1,43:04,9,22,.409,4,6,.667,9,11,.818,0,4,4,3,2,0,3,2,31,19.9,-10
17,16,2021-06-30,WCF,PHO,@,LAC,6,W (+27),1,42:04,10,26,.385,1,7,.143,1,1,1.000,0,7,7,4,1,1,3,2,22,10.6,+23
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17,2021-07-06,FIN,PHO,,MIL,1,W (+13),1,41:53,8,21,.381,1,8,.125,10,10,1.000,0,2,2,6,3,0,3,3,27,19.1,+18
20,18,2021-07-08,FIN,PHO,,MIL,2,W (+10),1,44:05,12,25,.480,7,12,.583,0,0,,2,3,5,6,0,0,3,4,31,20.2,+10
21,19,2021-07-11,FIN,PHO,@,MIL,3,L (-20),1,29:07,3,14,.214,1,7,.143,3,5,.600,2,4,6,2,0,0,1,2,10,2.8,-13
22,20,2021-07-14,FIN,PHO,@,MIL,4,L (-6),1,38:30,17,28,.607,0,3,.000,8,9,.889,1,0,1,2,0,1,4,5,42,25.6,0
23,21,2021-07-17,FIN,PHO,,MIL,5,L (-4),1,41:32,17,33,.515,2,4,.500,4,5,.800,1,3,4,3,2,1,2,5,40,25.7,+12
24,22,2021-07-20,FIN,PHO,@,MIL,6,L (-7),1,46:15,8,22,.364,0,7,.000,3,3,1.000,0,3,3,5,0,0,6,4,19,3.6,-15
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,2022-04-17,WC1,PHO,,NOP,1,W (+11),1,40:37,8,19,.421,4,8,.500,5,6,.833,0,4,4,8,1,0,1,2,25,20.5,+7
27,2,2022-04-19,WC1,PHO,,NOP,2,L (-11),1,24:47,12,19,.632,7,11,.636,0,0,,1,1,2,1,0,0,2,3,31,21.0,-6
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2022-04-22,,PHO,@,NOP,,W (+3),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
30,,2022-04-24,,PHO,@,NOP,,L (-15),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
31,,2022-04-26,,PHO,,NOP,,W (+15),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
32,3,2022-04-28,WC1,PHO,@,NOP,6,W (+6),1,32:14,5,12,.417,1,6,.167,2,2,1.000,0,5,5,3,0,0,2,0,13,8.2,+9
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,2022-05-02,WCS,PHO,,DAL,1,W (+7),1,38:13,7,20,.350,1,5,.200,8,8,1.000,3,6,9,8,0,1,1,1,23,20.6,+6
35,5,2022-05-04,WCS,PHO,,DAL,2,W (+20),1,35:32,11,19,.579,5,8,.625,3,3,1.000,1,3,4,4,0,1,2,4,30,22.6,+21
36,6,2022-05-06,WCS,PHO,@,DAL,3,L (-9),1,40:02,6,13,.462,4,6,.667,2,4,.500,0,2,2,6,0,0,5,1,18,9.9,-12
37,7,2022-05-08,WCS,PHO,@,DAL,4,L (-10),1,43:19,10,22,.455,3,6,.500,12,13,.923,1,3,4,7,0,1,5,4,35,23.8,-12
38,8,2022-05-10,WCS,PHO,,DAL,5,W (+30),1,35:12,11,20,.550,3,7,.429,3,4,.750,1,6,7,2,2,0,2,3,28,20.7,+25
39,9,2022-05-12,WCS,PHO,@,DAL,6,L (-27),1,39:00,6,17,.353,0,4,.000,7,7,1.000,2,6,8,3,1,1,8,4,19,6.9,-19
40,10,2022-05-15,WCS,PHO,,DAL,7,L (-33),1,36:59,3,14,.214,0,4,.000,5,6,.833,1,2,3,2,1,0,4,3,11,0.5,-41
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,2023-04-16,WC1,PHO,,LAC,1,L (-5),1,43:20,10,19,.526,0,3,.000,6,8,.750,1,0,1,3,4,3,5,3,26,18.6,-6
43,2,2023-04-18,WC1,PHO,,LAC,2,W (+14),1,44:48,14,22,.636,4,7,.571,6,6,1.000,0,1,1,9,1,0,3,4,38,31.2,+15
44,3,2023-04-20,WC1,PHO,@,LAC,3,W (+5),1,44:31,18,29,.621,3,7,.429,6,7,.857,1,5,6,3,3,2,0,2,45,39.4,+3
45,4,2023-04-22,WC1,PHO,@,LAC,4,W (+12),1,41:27,10,21,.476,3,6,.500,7,8,.875,3,6,9,7,3,0,4,1,30,26.3,+5
46,5,2023-04-25,WC1,PHO,,LAC,5,W (+6),1,41:39,19,27,.704,4,7,.571,5,6,.833,2,6,8,10,2,0,3,4,47,42.9,+11
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,2023-04-29,WCS,PHO,@,DEN,1,L (-18),1,40:06,10,19,.526,0,1,.000,7,8,.875,2,2,4,8,1,2,3,1,27,23.9,-18
49,7,2023-05-01,WCS,PHO,@,DEN,2,L (-10),1,44:40,14,29,.483,4,8,.500,3,3,1.000,0,5,5,6,0,0,2,4,35,22.4,-7
